Date,Forecast_Close
2021-06-01,12245.33149881113
2021-06-02,12248.071435626622
2021-06-03,12250.81137244211
2021-06-04,12253.5513092576
2021-06-05,12256.291246073091
2021-06-06,12259.031182888582
2021-06-07,12261.77111970407
2021-06-08,12264.511056519561
2021-06-09,12267.250993335052
2021-06-10,12269.990930150543
2021-06-11,12272.730866966034
2021-06-12,12275.470803781522
2021-06-13,12278.210740597013
2021-06-14,12280.950677412504
2021-06-15,12283.690614227995
2021-06-16,12286.430551043482
2021-06-17,12289.170487858974
2021-06-18,12291.910424674465
2021-06-19,12294.650361489956
2021-06-20,12297.390298305447
2021-06-21,12300.130235120934
2021-06-22,12302.870171936425
2021-06-23,12305.610108751916
2021-06-24,12308.350045567408
2021-06-25,12311.089982382895
2021-06-26,12313.829919198386
2021-06-27,12316.569856013877
2021-06-28,12319.309792829368
2021-06-29,12322.049729644856
2021-06-30,12324.789666460347
